,West Sacramento,Sacramento
0,ityofwestsacramento.org/dataset/Building-Permits/wr2w-xwf4, Neighborhood Associations
1,ityofwestsacramento.org/dataset/Parcel-Properties/rncy-9mdj, Survey Benchmarks
2,ityofwestsacramento.org/dataset/Checks/xr8n-g, Monthly 311 Requests Summarized by Category
3,ityofwestsacramento.org/dataset/Parcel-Water-Access/cam7-xfhk, Animal Intakes and Outcomes for the Last 3 Years
4,ityofwestsacramento.org/dataset/Business-Licenses/g24a-6u, Fire Stations
5,ityofwestsacramento.org/dataset/Parcel-Address/prib-ppv, Sacramento Annual Crime Statistics
6,ityofwestsacramento.org/dataset/Service-Requests/qdyy-, Historic Districts
7,ityofwestsacramento.org/dataset/Engineering-Permits/qbw4-txyy, Sphere Of Influence
8,ityofwestsacramento.org/dataset/Yolo-Project-Points-1/ayd3-8m36, Sacramento Dispatch Data From Current Year
9,ityofwestsacramento.org/dataset/F1/kiwt-iibb, Council Office Expenses
10,ityofwestsacramento.org/dataset/Parcels/hkiv-rnf3, 311 Street Maintenance Requests by Month
11,ityofwestsacramento.org/dataset/Census-Blocks-2010/mrkg-r5i, Off Street Parking
12,ityofwestsacramento.org/dataset/Code-Enforcement-Cases/ngia-kx, 311 Monthly Data 2013
13,ityofwestsacramento.org/dataset/Major-Building-Projects-over-100000/9vux-mq6i, Sacramento Year-to-Date Crime Statistics
14,ityofwestsacramento.org/dataset/Existing-Bike-Routes/ut4b-dh6y, Sacramento Crime Data From One Year Ago
15,ityofwestsacramento.org/dataset/2013-Housing-Permit-Parcel-Points/35qx-sc87, City of Sacramento 311 Calls (2013)
16,ityofwestsacramento.org/dataset/Yolo-RUCS-2012/a5x6-j833, ONSTREETPARKING
17,ityofwestsacramento.org/dataset/Yolo-Project/k4xa-j6sk, Subdivisions
18,ityofwestsacramento.org/dataset/City-of-West-Sacramento-Parcels/65sf-qh6, Sacramento Crime Data From Two Years Ago
19,ityofwestsacramento.org/dataset/Parcel-Data-2020/tfpv-8cy, Lobbyist Report
20,ityofwestsacramento.org/Government/2013-Position-Budgets/6fnu-dnaq, Sacramento 5 year projection General Fund
21,ityofwestsacramento.org/dataset/RT-Bus-Stops/vfpj-k2bq, Hospitals
22,ityofwestsacramento.org/dataset/Schools-2010/9khp-yb, Council Districts
23,ityofwestsacramento.org/dataset/Regional-Centerline/is2w-wnf, ONSTREETPARKING
24,ityofwestsacramento.org/dataset/Network-Model-2008-Counts/skfa-h565, Subdivisions
25,ityofwestsacramento.org/dataset/Call-Boxes/n84m-fve6, Sacramento Crime Data From Two Years Ago
26,ityofwestsacramento.org/dataset/Parcel-Data-2008/bewq-a9sz, City of Sacramento Budget
27,ityofwestsacramento.org/dataset/Parcel-Data-2035/3bq9-ebmf, City of Sacramento 311 Calls (2014)
28,ityofwestsacramento.org/dataset/Census-Tracts-2010/5n4r-y37i, General Plan
29,ityofwestsacramento.org/dataset/Zip-Codes-2009/vzef-5h2, GPS Static Survey
30,ityofwestsacramento.org/dataset/Metropolitam-Transportation-Plan-Community-Type-La/bknt-x67y, Community Plan Areas
31,ityofwestsacramento.org/dataset/Yuba-Sutter-Local-Commuter/v8yc-unbj, Purchase Orders by Vendor
32,ityofwestsacramento.org/dataset/Yolo-Bus-2012/bpnh-63bk, Traffic Counts
33,ityofwestsacramento.org/dataset/Park-and-Ride-Lots/jzk4-8g, Pet Licenses Issued in the Last 3 Years
34,ityofwestsacramento.org/Government/2013-Position-Budgets-by-Department/qpn8-xw46, Zoning
35,ityofwestsacramento.org/dataset/City-Boundaries/ta6h-nrdx, Signs
36,ityofwestsacramento.org/dataset/El-Dorado-Transit-012013/ajss-4bdf, Missed Solid Waste Services
37,ityofwestsacramento.org/dataset/CDPs-2010/776s-9i, 311 Monthly Service Requests
38,ityofwestsacramento.org/dataset/RT-Bus-Lines-0314/tysd-ydj9, Special Events - Areas
39,ityofwestsacramento.org/dataset/Elk-Grove-Routes/ct43-wysf, Citywide Contracts
40,ityofwestsacramento.org/dataset/Building-Permits-over-500k/6kyd-txg9, Animals Available for Adoptions
41,ityofwestsacramento.org/Government/2013-Position-Budgets-by-Bargaining-Group/9p2c-y, Business Operation Tax Information
42,ityofwestsacramento.org/dataset/Counties/b66d-zt4v, Purchase Orders to Date
43,ityofwestsacramento.org/dataset/Lincoln-Loop/aasv-iygv, City of Sacramento 311 Calls (2015)
44,ityofwestsacramento.org/dataset/Yolo-Project-Points/us9c-qy, Special Study Areas
45,ityofwestsacramento.org/dataset/Light-Rail-Stops/v8e6-q9ei, Source of 311 Service Requests by Month
46,ityofwestsacramento.org/dataset/Spheres-of-Influence/96u4-zez9, Expenses 2014-2015
47,ityofwestsacramento.org/dataset/Rivers/b7c5-ue5k, Census 2010 Block Population
48,ityofwestsacramento.org/dataset/Regional-Analysis-District-2007/3j6i-u4, Top 311 Request Types - October 2013
49,ityofwestsacramento.org/dataset/SCT/aaw7-f7, Road Closures
50,ityofwestsacramento.org/dataset/Small-Lakes/99g7-dn25, 311 Service Requests by Zip Code
51,ityofwestsacramento.org/dataset/Lakes/gg9a-tyyj, 311 Call Volume by Month
52,ityofwestsacramento.org/dataset/Folsom-Stage/wyg3-75uv, Sacramento Dispatch Data From One Year Ago
53,ityofwestsacramento.org/dataset/Creeks/pc7x-pxgj, Outstanding Checks
54,ityofwestsacramento.org/dataset/Capitol-Corridor-Rail/m82x-h9tq, Parks
55,ityofwestsacramento.org/dataset/Light-Rail/u6en-ckf, Sacramento Fire Department 911 Call Response
56,ityofwestsacramento.org/dataset/Roseville-Transit/jk5b-e696, Checks Issued
57,ityofwestsacramento.org/dataset/Bus-Route/qbce-7hv, Campaign Finance Disbursements
58,ityofwestsacramento.org/dataset/Uniroute-1314/im3a-tsx7, Missed Solid Waste Service Pick-ups
59,ityofwestsacramento.org/dataset/Colleges/a7ah-yxyv, Design Review Areas
60,ityofwestsacramento.org/dataset/Hospitals/v2da-9dg8, Sacramento Dispatch Data From One Year Ago
61,ityofwestsacramento.org/dataset/Placer-County-Transit-092012/9htr-pb24, Sacramento Police Vehicle Stop Data
62,ityofwestsacramento.org/dataset/YS-Transit-3-Q-Mile-Service/g6sb-vka2, Population by Race 2010
63,ityofwestsacramento.org/dataset/Auburn-Transit/552j-hmm4, Road Detours
64,ityofwestsacramento.org/dataset/Regional-Amtrak-Stations/apkk-ee27, Streetlights
65,ityofwestsacramento.org/dataset/Roseville-Commuter/wn8f-w2f, City of Sacramento Last Three Approved Budgets
66,ityofwestsacramento.org/dataset/Crime-Data/x9zx-hd9, Bid Activities Report
67,ityofwestsacramento.org/dataset/City-Financial-Data/jbfa-bdti, Sacramento UCR Year-to-Year Comparison
68,ityofwestsacramento.org/dataset/City-Checks/w88z-n8ji, City Maintained Trees
69,, Campaign Finance Form Receipts
